학교명,학제,설립구분,시,지역,학교홈페이지,등록금,국가장학금,지방자치단체장학금,사설및기타장학금,성적우수장학금,근로장학금,기타장학금,교외장학금,교내장학금,전체 장학금,남은 장학금
국민대학교,대학교,사립,서울,성북구,www.kookmin.ac.kr,7976046,32222895918,568318910,2221634470,4916183000,1640862192,7882434350,35012849298,14439479542,49452328840,49444352794
국제대학교,전문대학,사립,경기,평택시,www.kookje.ac.kr,6682105,7395534307,5967300,62622600,341153500,150588563,1338072550,7464124207,1829814613,9293938820,9287256715
군산간호대학교,전문대학,사립,전북,군산시,www.kcn.ac.kr,6353625,2881429504,0,22500000,169808334,23065001,330800000,2903929504,523673335,3427602839,3421249214
군산대학교,대학교,국립,전북,군산시,www.kunsan.ac.kr,3918285,13692220085,212769000,227594200,1940799800,234849130,1059399920,14132583285,3235048850,17367632135,17363713850
군장대학교,전문대학,사립,전북,군산시,www.kunjang.ac.kr,5813980,5102820621,7600000,47300000,73012500,16774872,1144060750,5157720621,1233848122,6391568743,6385754763
극동대학교,대학교,사립,충북,음성군,www.kdu.ac.kr,7581231,8034680921,7000000,52807000,1073316100,315941204,1266257000,8094487921,2655514304,10750002225,10742420994
금강대학교,대학교,사립,충남,논산시,www.ggu.ac.kr,6598000,522688590,0,5682000,789006000,43267960,246985378,528370590,1079259338,1607629928,1601031928
금오공과대학교,대학교,국립,경북,구미시,www.kumoh.ac.kr,3765638,11830888803,24499980,481110350,1049612020,342959722,707617990,12336499133,2100189732,14436688865,14432923227
기독간호대학교,전문대학,사립,광주,남구,ccn.ac.kr,5363375,1579967923,0,14953128,142123000,11886862,95294846,1594921051,249304708,1844225759,1838862384
김천대학교,대학교,사립,경북,김천시,www.gimcheon.ac.kr,7114508,6386279578,776880,127314915,641582001,113706249,3558440509,6514371373,4313728759,10828100132,10820985624
김포대학교,전문대학,사립,경기,김포시,ukp.ac.kr,6453746,5591284048,5100600,126643900,192035500,26783862,919111700,5723028548,1137931062,6860959610,6854505864
김해대학교,전문대학,사립,경남,김해시,www.gimhae.ac.kr,5925590,5279854566,10590420,87000000,262390000,120447624,842007000,5377444986,1224844624,6602289610,6596364020
나사렛대학교,대학교,사립,충남,천안시,www.kornu.ac.kr,7207401,15158856292,11100600,165950000,2775402000,306566188,1393057050,15335906892,4475025238,19810932130,19803724729
남부대학교,대학교,사립,광주,광산구,www.nambu.ac.kr,6545359,7756804486,2500000,68111250,556758000,51603464,2401867900,7827415736,3010229364,10837645100,10831099741
남서울대학교,대학교,사립,충남,천안시,www.nsu.ac.kr,7924049,22989838618,59306130,259866100,4410669150,219971264,2898773750,23309010848,7529414164,30838425012,30830500963
농협대학교,전문대학,사립,경기,고양시,www.nonghyup.ac.kr,4982667,646427218,5128560,17444000,156032000,10606142,123036000,668999778,289674142,958673920,953691253
단국대학교,대학교,사립,"충남, 경기","용인시, 천안시",www.dankook.ac.kr,8073411,47759877507,155146740,1236818110,2154722484,503333458,16113787423,49151842357,18771843365,67923685722,67915612311
단국대학교,대학교,사립,"충남, 경기","용인시, 천안시",www.dankook.ac.kr,8222972,47759877507,155146740,1236818110,2154722484,503333458,16113787423,49151842357,18771843365,67923685722,67915462750
대경대학교,전문대학,사립,경북,경산시,www.tk.ac.kr,6259436,11821766253,13256680,32310900,229920330,115594396,4697528470,11867333833,5043043196,16910377029,16904117593
대구가톨릭대학교,대학교,사립,경북,경산시,www.cu.ac.kr,7257370,32729308250,53216930,333563000,3456575925,1247607470,6890625740,33116088180,11594809135,44710897315,44703639945
대구공업대학교,전문대학,사립,대구,달서구,www.ttc.ac.kr,5831269,3800376408,0,14500000,108754000,88529512,1705962130,3814876408,1903245642,5718122050,5712290781
대구과학대학교,전문대학,사립,대구,북구,www.tsu.ac.kr,5779091,15123440328,3092160,51560000,772252860,315365002,3487990660,15178092488,4575608522,19753701010,19747921919
대구대학교,대학교,사립,경북,경산시,www.daegu.ac.kr,6922821,49768120575,511149710,1623239698,8352595070,1213819734,3564391429,51902509983,13130806233,65033316216,65026393395
대구보건대학교,전문대학,사립,대구,북구,www.dhc.ac.kr,6228972,21092021470,20110120,109000000,1111976500,1107207316,2661470200,21221131590,4880654016,26101785606,26095556634
대구예술대학교,대학교,사립,경북,칠곡군,www.dgau.ac.kr,8306676,1603721984,1438560,13300000,115351000,84508236,343694340,1618460544,543553576,2162014120,2153707444
대구한의대학교,대학교,사립,경북,경산시,www.dhu.ac.kr,7270124,18535035438,245787380,396461380,1215400760,560465602,4783886980,19177284198,6559753342,25737037540,25729767416
대덕대학교,전문대학,사립,대전,유성구,www.ddu.ac.kr,5767082,5996348159,1827180,25580000,321216870,75723916,1402282570,6023755339,1799223356,7822978695,7817211613
대동대학교,전문대학,사립,부산,금정구,www.daedong.ac.kr,6011923,4032616508,15851840,59240260,484396000,32426136,493953200,4107708608,1010775336,5118483944,5112472021
대림대학교,전문대학,사립,경기,안양시,www.daelim.ac.kr,6740121,18929833227,6825200,345955500,2327019600,713132562,1752006510,19282613927,4792158672,24074772599,24068032478
대신대학교,대학교,사립,경북,경산시,www.daeshin.ac.kr,6545690,1959473360,0,20080000,0,35319610,291761500,1979553360,327081110,2306634470,2300088780
대원대학교,전문대학,사립,충북,제천시,www.daewon.ac.kr,5967533,6276260138,369943280,33046300,318656000,55929642,652694040,6679249718,1027279682,7706529400,7700561867
대전가톨릭대학교,대학교,사립,세종,전의면,dcatholic.ac.kr,5760000,62265000,0,2000000,0,3000000,0,64265000,3000000,67265000,61505000
대전과학기술대학교,전문대학,사립,대전,서구,www.dst.ac.kr,5893710,11276085370,9622480,75597000,297441670,71657020,2425714930,11361304850,2794813620,14156118470,14150224760
대전대학교,대학교,사립,대전,동구,www.dju.ac.kr,7382967,20898675836,10212480,247466300,2510317000,852402198,4912443193,21156354616,8275162391,29431517007,29424134040
대전보건대학교,전문대학,사립,대전,동구,www.hit.ac.kr,5665916,13461342895,9971940,85268500,1097498150,635363900,1041664165,13556583335,2774526215,16331109550,16325443634
대전신학대학교,대학교,사립,대전,대덕구,www.daejeon.ac.kr,5956000,262337121,0,11637000,16055000,4072024,14389000,273974121,34516024,308490145,302534145
대진대학교,대학교,사립,경기,포천시,www.daejin.ac.kr,7256019,19669788827,56316400,71437000,1386752000,305396388,4470314029,19797542227,6162462417,25960004644,25952748625
덕성여자대학교,대학교,사립,서울,도봉구,www.duksung.ac.kr,7187575,10134349941,105177065,369311660,2500782110,240457212,1670939894,10608838666,4412179216,15021017882,15013830307
동강대학교,전문대학,사립,광주,북구,www.dkc.ac.kr,5464931,7370058802,6000000,14872000,81890000,32924378,1704430500,7390930802,1819244878,9210175680,9204710749
동국대학교,대학교,사립,"경북, 서울","중구, 경주시",www.dongguk.edu,7979547,25534470615,119155360,2066574360,4074305500,2297174270,7537068592,27720200335,13908548362,41628748697,41620769150
동남보건대학교,전문대학,사립,경기,수원시,www.dongnam.ac.kr,6540901,11298771149,16134800,99032174,1575687200,432976692,904459000,11413938123,2913122892,14327061015,14320520114
동덕여자대학교,대학교,사립,서울,성북구,www.dongduk.ac.kr,7456251,14024615027,85686660,302731730,3917242762,680848730,1651739710,14413033417,6249831202,20662864619,20655408368
동명대학교,대학교,사립,부산,남구,www.tu.ac.kr,7058139,22081794022,96092670,183174200,1464159560,314466978,5386262820,22361060892,7164889358,29525950250,29518892111
동서대학교,대학교,사립,부산,사상구,www.dongseo.ac.kr,6907327,27081831693,67729360,191300000,3435675150,530242382,2998561475,27340861053,6964479007,34305340060,34298432733
동서울대학교,전문대학,사립,경기,성남시,www.du.ac.kr,6831273,14739835283,5816400,236290000,1278689000,686118122,1698198000,14981941683,3663005122,18644946805,18638115532
동신대학교,대학교,사립,전남,나주시,www.dsu.ac.kr,6733888,18594192708,111900000,296820000,236620670,322254112,5712032210,19002912708,6270906992,25273819700,25267085812
동아대학교,대학교,사립,부산,사하구,www.donga.ac.kr,7078779,47365966523,211647005,963835600,7563398680,1013198079,2338322407,48541449128,10914919166,59456368294,59449289515
동아방송예술대학교,전문대학,사립,경기,안성시,www.dima.ac.kr,7350814,9097826425,66665400,80950000,875972400,102753510,567784200,9245441825,1546510110,10791951935,10784601121
동아보건대학교,전문대학,사립,전남,영암군,www.duh.ac.kr,4907622,4100876809,3638920,53400000,45333750,11043868,609044823,4157915729,665422441,4823338170,4818430548
동양대학교,대학교,사립,경북,영주시,www.dyu.ac.kr,7233405,9819289885,219588300,476126000,898328800,117202760,2207968911,10515004185,3223500471,13738504656,13731271251
동양미래대학교,전문대학,사립,서울,구로구,www.dongyang.ac.kr,6672432,16658966688,97644400,188920000,1302285250,1548946072,1594529908,16945531088,4445761230,21391292318,21384619886
동원과학기술대학교,전문대학,사립,경남,양산시,www.dist.ac.kr,5777479,7290640931,97000000,197139000,140987350,73424520,1124973600,7584779931,1339385470,8924165401,8918387922
동원대학교,전문대학,사립,경기,광주시,www.tw.ac.kr,6871817,8790874444,4463300,40056000,297943500,132360636,1857351434,8835393744,2287655570,11123049314,11116177497
동의과학대학교,전문대학,사립,부산,부산진구,www.dit.ac.kr,6309081,14171710110,44719280,76192248,434428650,88866090,2475167770,14292621638,2998462510,17291084148,17284775067
동의대학교,대학교,사립,부산,부산진구,www.deu.ac.kr,6616457,38729024330,106533400,284805800,5504416160,1189144020,3410238546,39120363530,10103798726,49224162256,49217545799
두원공과대학교,전문대학,사립,경기,안성시,www.doowon.ac.kr,6480433,6206699879,8300000,114856800,377733700,109298834,1209950900,6329856679,1696983434,8026840113,8020359680
루터대학교,대학교,사립,경기,용인시,www.ltu.ac.kr,6334500,1019223012,0,2500000,21105000,31334028,174726810,1021723012,227165838,1248888850,1242554350
